Article title;Author(s);Journal;Issue;Citations (WoS);CrossRef;Scopus;IUCr;Altmetric;Views;Category;Topic;Access;Keywords;Review scores
Uniqueness of the macromolecular crystallographic phase problem;R. P. Millane and R. D. Arnal;A;November 2015;15;15;16;5;0;432;fa;;;"uniqueness; phase problem; ab initio phasing; macromolecular crystallography";3.0 (4,2)
The crystallographic chameleon: when space groups change skin;M. Nespolo and M. I. Aroyo;A;September 2016;15;11;16;2;3;1543;fa;;;"space groups; axial setting; Hermann-Mauguin symbols";
Aspherical scattering factors for SHELXL - model, implementation and application;J. Lübben, C. M. Wandtke, C. B. Hübschle, M. Ruf, G. M. Sheldrick and B. Dittrich;A;January 2019;14;14;14;0;10;4107;fa;;Open;"SHELXL; invarioms; aspherical scattering factors; quantum crystallography";4.0 (5,5,2)
Unique atom hyper-kagome order in Na4Ir3O8 and in low-symmetry spinel modifications;V. M. Talanov, V. B. Shirokov and M. V. Talanov;A;May 2015;14;12;12;3;1;520;fa;;;"hyper-kagome order; ordered spinels; enantiomorphic modifications; atom and orbital orders; decagons";2.5 (4,1)
Small-angle X-ray scattering tensor tomography: model of the three-dimensional reciprocal-space map, reconstruction algorithm and angular sampling requirements;M. Liebi, M. Georgiadis, J. Kohlbrecher, M. Holler, J. Raabe, I. Usov, A. Menzel, P. Schneider, O. Bunk and M. Guizar-Sicairos;A;January 2018;14;15;15;2;3;5289;fa;;Open;"small-angle X-ray scattering; tensor tomography; spherical harmonics; bone";4.0 (4)
Dynamic quantum crystallography: lattice-dynamical models refined against diffraction data. II. Applications to l-alanine, naphthalene and xylitol;A. A. Hoser and A.Ø. Madsen;A;March 2017;13;11;12;1;1;478;fa;;;"lattice dynamics; thermodynamics; refinement; Bragg scattering";4.0 (4,4)
100 years of Debye's scattering equation;L. Gelisio and P. Scardi;A;November 2016;13;10;12;1;1;1029;fa;100 years of the Debye scattering equation;;"Debye scattering equation; powder diffraction; atomic form factors; complex materials; historical overview";3.5 (4,3)
Computation in electron microscopy;E. J. Kirkland;A;January 2016;13;17;13;0;6;5040;la;;Free;"high-resolution transmission electron microscopy; HRTEM; multislice method; exit-wave reconstruction; deconvolution";3.0 (4,2)
A method to estimate statistical errors of properties derived from charge-density modelling;B. Fournier, B. Guillot, C. Lecomte, E. C. Escudero-Adán and C. Jelsch;A;May 2018;12;13;14;0;2;2023;fa;;Open;"Monte Carlo methods; electron density; uncertainty; topology; intermolecular interactions";4.0 (4,4)
XGANDALF - extended gradient descent algorithm for lattice finding;Y. Gevorkov, O. Yefanov, A. Barty, T. A. White, V. Mariani, W. Brehm, A. Tolstikova, R.-R. Grigat and H. N. Chapman;A;September 2019;12;12;12;0;2;2034;fa;;Open;"indexing; XGANDALF; CrystFEL; multiple lattices; serial crystallography";4.0 (4,4)
Structure factor for an icosahedral quasicrystal within a statistical approach;R. Strzalka, I. Buganski and J. Wolny;A;May 2015;12;12;12;1;1;266;fa;;;"icosahedral quasicrystal; primitive icosahedral tiling; average unit cell concept; statistical approach; higher-dimensional analysis; diffraction pattern";3.0 (3,3)
Generalized Penrose tiling as a quasilattice for decagonal quasicrystal structure analysis;M. Chodyn, P. Kuczera and J. Wolny;A;March 2015;11;9;9;0;1;417;fa;;;"decagonal quasicrystals; generalized Penrose tiling; average unit cell";
Interpretation of angular symmetries in electron nanodiffraction patterns from thin amorphous specimens;A. C. Y. Liu, G. R. Lumpkin, T. C. Petersen, J. Etheridge and L. Bourgeois;A;September 2015;11;11;9;0;1;546;fa;;;"amorphous materials; electron nanodiffraction; short-range order; scanning transmission electon microscopy; Friedel symmetry";3.7 (4,4,3)
Automatic calculation of symmetry-adapted tensors in magnetic and non-magnetic materials: a new tool of the Bilbao Crystallographic Server;S. V. Gallego, J. Etxebarria, L. Elcoro, E. S. Tasci and J. M. Perez-Mato;A;May 2019;11;11;8;0;1;1016;fa;;;"equilibrium tensors; transport tensors; optical tensors; nonlinear optical susceptibility tensors; magnetic groups; time-reversal symmetry; Onsager relationships";4.3 (5,4,4)
Topological features in crystal structures: a quotient graph assisted analysis of underlying nets and their embeddings;J.-G. Eon;A;May 2016;10;7;8;2;0;826;la;;;"crystal topology; labelled quotient graphs; ring analysis; building blocks";3.5 (4,3)
Bonding network and stability of clusters: the case study of Al13TM4 pseudo-tenfold surfaces;P. Scheid, C. Chatelier, J. Ledieu, V. Fournée and É. Gaudry;A;March 2019;10;10;11;1;2;2045;fa;aperiodic 2018;Open;"complex intermetallic compounds; surfaces; bonding; density functional theory";2.5 (3,2)
pinkIndexer - a universal indexer for pink-beam X-ray and electron diffraction snapshots;Y. Gevorkov, A. Barty, W. Brehm, T. A. White, A. Tolstikova, M. O. Wiedorn, A. Meents, R.-R. Grigat, H. N. Chapman and O. Yefanov;A;March 2020;9;11;9;0;7;2021;fa;;Open;"indexing; pinkIndexer; CrystFEL; pink X-ray beam; serial electron diffraction";3.5 (4,3)
Asymmetry in serial femtosecond crystallography data;A. Sharma, L. Johansson, E. Dunevall, W. Wahlgren, R. Neutze and G. Katona;A;March 2017;9;9;8;2;8;4559;fa;;Open;"ex-Gaussian distribution; serial femtosecond crystallography; Bragg reflections; systematic absences; intensity distribution";3.0 (3)
A group-theoretical approach to enumerating magnetoelectric and multiferroic couplings in perovskites;M. S. Senn and N. C. Bristowe;A;July 2018;9;11;9;2;7;3679;fa;;;"magnetoelectric couplings; multiferroic couplings; perovskites; improper ferroelectricity; group theory; irrep analysis; anharmonic couplings";4.5 (5,4)
Iterative projection algorithms in protein crystallography. II. Application;V. L. Lo, R. L. Kingston and R. P. Millane;A;July 2015;9;8;9;4;1;238;fa;;;"iterative projection algorithms; phasing; density modification; phase determination";3.0 (3)
Diffuse multiple scattering;A. G. A. Nisbet, G. Beutier, F. Fabrizi, B. Moser and S. P. Collins;A;January 2015;9;9;8;3;1;5022;fa;;Open;"diffuse scattering; multiple scattering; Kossel lines; Kikuchi lines; strain; lattice parameters";
The transformation matrices (distortion, orientation, correspondence), their continuous forms and their variants;C. Cayron;A;May 2019;8;8;9;0;1;886;fa;;;"phase transformations; martensitic transformation; transformation matrices; variants; distortion; orientation; correspondence";4.5 (5,4)
Extension of the transferable aspherical pseudoatom data bank for the comparison of molecular electrostatic potentials in structure-activity studies;P. Kumar, B. Gruza, S. A. Bojarowski and P. M. Dominiak;A;March 2019;8;6;8;0;5;292;fa;;;"quantum crystallography; pseudoatom data bank; UBDB2018; aspherical scattering factors; electrostatic potential; transferable aspherical atom model (TAAM); structure refinement; X-ray diffraction; electron diffraction; electron crystallography";4.0 (4)
Using a machine learning approach to determine the space group of a structure from the atomic pair distribution function;C.-H. Liu, Y. Tao, D. Hsu, Q. Du and S. J. L. Billinge;A;July 2019;8;8;7;0;4;708;fa;;;"pair distribution function; space groups; convolutional neural network; machine learning";3.5 (4,3)
X-ray constrained spin-coupled technique: theoretical details and further assessment of the method;A. Genoni, G. Macetti, D. Franchini, S. Pieraccini and M. Sironi;A;November 2019;8;8;7;0;2;551;fa;;;"X-ray constrained wavefunction; quantum crystallography; valence bond theory; spin-coupled method";5.0 (5,5)
Non-crystallographic symmetry of liquid metal, flat crystallographic faults and polymorph transformation of the M7C3 carbide;A. L. Talis, V. S. Kraposhin, S. Y. Kondrat'ev, V. I. Nikolaichik, E. V. Svyatysheva and A. A. Everstov;A;May 2017;8;10;10;0;1;527;fa;;;"carbide M7C3; carbide M23C6; carbide transformations; projective geometry; finite projective groups; Desargues configuration; heat-resistant Fe-Cr-Ni alloys";2.3 (3,3,1)
Cluster-mining: an approach for determining core structures of metallic nanoparticles from atomic pair distribution function data;S. Banerjee, C.-H. Liu, K. M.Ø Jensen, P. Juhás, J. D. Lee, M. Tofanelli, C. J. Ackerson, C. B. Murray and S. J. L. Billinge;A;January 2020;8;10;11;0;1;1577;fa;;Open;"structural models; nanoparticles; clusters; pair distribution functions; data mining; screening";2.0 (3,1)
Solution of the phase problem at non-atomic resolution by the phantom derivative method;C. Giacovazzo;A;September 2015;8;8;8;5;35;442;fa;;;"ab initio solution; phasing methods; derivative structure";4.5 (5,4)
Three-dimensional propagation in near-field tomographic X-ray phase retrieval;A. Ruhlandt and T. Salditt;A;March 2016;8;8;8;1;1;3232;fa;;Open;"tomography; phase retrieval; X-ray imaging";3.0 (4,4,1)
Statistical tests against systematic errors in data sets based on the equality of residual means and variances from control samples: theory and applications;J. Henn and K. Meindl;A;March 2015;8;8;7;2;1;369;fa;;;"fit-quality indicators; statistical tests; residuals; least-squares refinement";4.0 (4,4)
The phase problem for one-dimensional crystals;R. P. Millane;A;March 2017;8;8;8;3;0;314;fa;;;"phase problem; one-dimensional crystals; XFELs";4.0 (5,3)
Application of differential resonant high-energy X-ray diffraction to three-dimensional structure studies of nanosized materials: A case study of Pt-Pd nanoalloy catalysts;V. Petkov, S. Shastri, J.-W. Kim, S. Shan, J. Luo, J. Wu and C.-J. Zhong;A;September 2018;8;6;9;0;2;229;fa;;;"resonant high-energy X-ray diffraction; element-specific pair distribution functions; nanosized materials; structure-function relationships; structural coherence";4.0 (4,4)
Solving the disordered structure of β-Cu2−xSe using the three-dimensional difference pair distribution function;N. Roth and B. B. Iversen;A;May 2019;8;7;7;0;2;524;fa;;;"three-dimensional difference pair distribution function; 3D-ΔPDF; single-crystal diffuse X-ray scattering; disorder; copper selenide; thermoelectrics";4.0 (4,4)
Partial order among the 14 Bravais types of lattices: basics and applications;H. Grimmer;A;March 2015;7;6;7;5;1;4520;fa;;Open;"Bravais lattices; translationengleiche subgroups; phase transitions";5.0 (5,5)
On the origin of crystallinity: a lower bound for the regularity radius of Delone sets;I. A. Baburin, M. Bouniaev, N. Dolbilin, N. Y. Erokhovets, A. Garber, S. V. Krivovichev and E. Schulte;A;November 2018;7;6;7;1;4;258;fa;;;"Delone sets; regularity radius; crystallinity; Engel sets";4.3 (5,4,4)
A side-by-side comparison of the solidification dynamics of quasicrystalline and approximant phases in the Al-Co-Ni system;I. Han, X. Xiao, H. Sun and A. J. Shahani;A;March 2019;7;10;9;1;2;2842;fa;aperiodic 2018;Open;"quasicrystals; approximant phases; synchrotron radiation; nucleation and growth";4.5 (5,4)
Nuclear-weighted X-ray maximum entropy method - NXMEM;S. Christensen, N. Bindzus, M. Christensen and B. Brummerstedt Iversen;A;January 2015;7;14;7;2;1;828;fa;;;"maximum entropy method; X-ray diffraction; disordered structures; nuclear density distribution; thermoelectricity; PbTe; clathrates; Ba8Ga16Sn30";3.3 (4,4,2)
Partially coherent ptychography by gradient decomposition of the probe;H. Chang, P. Enfedaque, Y. Lou and S. Marchesini;A;May 2018;7;10;9;0;33;458;fa;;;"ptychography; partial coherence; phase retrieval; wavefront metrology";3.5 (4,3)
Cryogenic coherent X-ray diffraction imaging of biological samples at SACLA: a correlative approach with cryo-electron and light microscopy;Y. Takayama and K. Yonekura;A;March 2016;7;9;11;2;1;3909;fe;;;"coherent X-ray diffraction imaging; X-ray free-electron lasers; frozen-hydrated non-crystalline samples; structural analysis; correlative microscopy";4.0 (4,4)
How many photons are needed to reconstruct random objects in coherent X-ray diffractive imaging?;T. Jahn, R. N. Wilke, Y. Chushkin and T. Salditt;A;January 2017;7;9;6;1;2;1679;fa;;;"coherent X-ray diffractive imaging; CDI; image reconstruction; phase retrieval; maximum likelihood";2.7 (4,3,1)
Measuring stress-induced martensite microstructures using far-field high-energy diffraction microscopy;A. N. Bucsek, D. Dale, J. Y. P. Ko, Y. Chumlyakov and A. P. Stebner;A;September 2018;7;11;9;1;44;1082;fa;;;"high-energy X-rays; 3DXRD; shape memory alloys; martensite; phase transitions";4.5 (5,4)
Formulation of dynamical theory of X-ray diffraction for perfect crystals in the Laue case using the Riemann surface;T. Saka;A;May 2016;7;7;8;5;2;206;fa;;;"X-ray diffraction; dynamical theory; Laue case; Riemann surface; dispersion surface";4.0 (4)
Full real-space analysis of a dodecagonal quasicrystal;S. Schenk, E. M. Zollner, O. Krahn, B. Schreck, R. Hammer, S. Förster and W. Widdra;A;March 2019;7;4;7;1;2;2443;fa;aperiodic 2018;Open;"2D oxide quasicrystal; BaTiO3 on Pt(111); dodecagonal tiling; statistical analysis; scanning tunnelling microscopy";3.0 (4,2)
Bragg-von Laue diffraction generalized to twisted X-rays;D. Jüstel, G. Friesecke and R. D. James;A;March 2016;7;7;8;1;43;701;fa;;;"X-ray diffraction; structure determination; noncrystalline structures; twisted X-rays";4.0 (4,4)
Ab initio structure determination and quantitative disorder analysis on nanoparticles by electron diffraction tomography;Y. Krysiak, B. Barton, B. Marler, R. B. Neder and U. Kolb;A;March 2018;7;7;8;0;2;467;fa;;;"zeolite beta; disorder simulation; electron diffraction tomography; in-line electron holography; polytypism";3.0 (3)
Ultrafast calculation of diffuse scattering from atomistic models;J. A. M. Paddison;A;January 2019;7;7;7;0;6;1633;fa;;;"diffuse scattering; disorder; Monte Carlo simulation";4.0 (4,4)
Multislice imaging of integrated circuits by precession X-ray ptychography;K. Shimomura, M. Hirose and Y. Takahashi;A;January 2018;7;9;8;1;1;698;fa;;;"X-ray ptychography; multislice approach; integrated circuits";3.0 (4,2)
What is an `ideally imperfect' crystal? Is kinematical theory appropriate?;P. F. Fewster;A;January 2016;6;6;6;5;1;4289;fa;;Open;"imperfect crystals; kinematical theory; dynamical theory";2.5 (3,2)
Phason-flips refinement of and multiple-scattering correction for the d-AlCuRh quasicrystal;I. Buganski, R. Strzalka and J. Wolny;A;March 2019;6;5;5;0;2;157;fa;;;"phason flips; multiple scattering; quasicrystals; structure refinement";2.7 (4,3,1)
Approximation of virus structure by icosahedral tilings;D. G. Salthouse, G. Indelicato, P. Cermelli, T. Keef and R. Twarock;A;July 2015;6;6;6;2;6;269;fa;;;"virus capsid structure; icosahedral tilings; polygonal approximation";3.0 (3)
Edge-2-transitive trinodal polyhedra and 2-periodic tilings;O. Delgado-Friedrichs and M. O'Keeffe;A;May 2017;6;9;8;1;1;364;fa;;;"nets; tilings; minimal transitivity";3.5 (4,3)
The development of powder profile refinement at the Reactor Centre Netherlands at Petten;B. van Laar and H. Schenk;A;March 2018;6;10;9;1;9;4438;cs;;Open;"powder profile refinement; profile refinement; Rietveld refinement";3.5 (5,2)
Electron-density critical points analysis and catastrophe theory to forecast structure instability in periodic solids;M. Merli and A. Pavese;A;March 2018;6;6;6;0;1;223;fa;;;"electron-density critical points; catastrophe theory; phase/state transitions in crystals; ab initio calculations";4.0 (5,3)
Frequency analysis for modulation-enhanced powder diffraction;D. Chernyshov, V. Dyadkin, W. van Beek and A. Urakawa;A;July 2016;6;5;6;0;1;296;fa;;;"powder diffraction; modulation-enhanced diffraction; periodic modulation; frequency response";2.3 (4,2,1)
Twinning of aragonite - the crystallographic orbit and sectional layer group approach;M.-A. Marzouki, B. Souvignier and M. Nespolo;A;March 2015;6;2;6;0;1;259;fa;;;"aragonite; crystallographic orbits; eigensymmetry; sectional layer group; twinning";3.0 (3)
Group-theoretical analysis of aperiodic tilings from projections of higher-dimensional lattices Bn;M. Koca, N. Ozdes Koca and R. Koc;A;March 2015;6;5;4;1;2;244;fa;;;"lattices; Coxeter-Weyl groups; strip projection; cut-and-project technique; quasicrystallography; aperiodic tilings";
CO2 adsorption in Y zeolite: a structural and dynamic view by a novel principal-component-analysis-assisted in situ single-crystal X-ray diffraction experiment;E. Conterosito, L. Palin, R. Caliandro, W. van Beek, D. Chernyshov and M. Milanesio;A;March 2019;6;6;7;0;13;2358;fa;;Open;"in situ studies; Y zeolite; principal component analysis; enthalpy of adsorption; entropy of adsorption";
A new method for in situ structural investigations of nano-sized amorphous and crystalline materials using mixed-flow reactors;A. Hoeher, S. Mergelsberg, O. J. Borkiewicz, P. M. Dove and F. M. Michel;A;September 2019;6;7;7;0;3;1854;fa;;Open;"in situ X-ray total scattering; crystallization; amorphous calcium phosphate; amorphous calcium carbonate; pair distribution function analysis";3.5 (4,3)
Properties of X-ray resonant scattering in the Bragg case revealed on the Riemann surface;T. Saka;A;July 2016;6;5;5;4;1;143;fa;;;"X-ray diffraction; dynamical theory; Bragg case; Riemann surface; dispersion surface; rocking curve; resonant scattering";4.0 (4,4)
Pairwise correlations in layered close-packed structures;P. M. Riechers, D. P. Varn and J. P. Crutchfield;A;July 2015;6;10;8;3;1;189;fa;;;"X-ray diffraction; planar disorder; stacking fault; z-transformation; spectral decomposition; pair distribution function";2.5 (4,1)
Algorithm for systematic peak extraction from atomic pair distribution functions;L. Granlund, S. J. L. Billinge and P. M. Duxbury;A;July 2015;6;7;7;0;1;947;fa;;;"pair distribution function; peak extraction; model selection; Akaike information criterion; computer program";3.0 (4,2)
A general algorithm for generating isotropy subgroups in superspace;H. T. Stokes and B. J. Campbell;A;January 2017;6;6;6;5;0;1191;fa;;;"irreducible representations; isotropy subgroups; incommensurate structures; modulated structures; superspace groups; order parameter";4.3 (5,5,3)
A numerical method for deriving shape functions of nanoparticles for pair distribution function refinements;T.-M. Usher, D. Olds, J. Liu and K. Page;A;July 2018;6;6;7;0;1;497;fa;;;"nanoparticles; shape function; pair distribution function; total scattering";3.0 (4,2)
High-speed tensor tomography: iterative reconstruction tensor tomography (IRTT) algorithm;Z. Gao, M. Guizar-Sicairos, V. Lutz-Bueno, A. Schröter, M. Liebi, M. Rudin and M. Georgiadis;A;March 2019;6;6;5;0;3;2768;fa;;Open;"small-angle X-ray scattering; tensor tomography; iterative reconstruction algorithm";3.5 (4,3)
Indexing of grazing-incidence X-ray diffraction patterns: the case of fibre-textured thin films;J. Simbrunner, C. Simbrunner, B. Schrode, C. Röthel, N. Bedoya-Martinez, I. Salzmann and R. Resel;A;July 2018;6;8;5;1;2;2721;fa;;Open;"grazing-incidence X-ray diffraction; thin films; indexing; specular scan; mathematical crystallography";4.0 (4,4)
Density- and wavefunction-normalized Cartesian spherical harmonics for l ≤ 20;J. R. Michael and A. Volkov;A;March 2015;5;6;5;3;1;387;sc;;;"spherical harmonics; pseudoatom model; charge density";
Ab initio phasing of the diffraction of crystals with translational disorder;A. J. Morgan, K. Ayyer, A. Barty, J. P. J. Chen, T. Ekeberg, D. Oberthuer, T. A. White, O. Yefanov and H. N. Chapman;A;January 2019;5;6;4;1;4;2941;fa;;Open;"X-ray diffraction; diffuse scattering; phase retrieval; macromolecular crystallography";4.0 (4)
On the group-theoretical approach to the study of interpenetrating nets;I. A. Baburin;A;May 2016;5;6;5;0;2;328;fa;;;"periodic nets; interpenetration patterns; Hopf ring net; group-supergroup relations";3.0 (4,3,2)
How to name and order convex polyhedra;Y. L. Voytekhovsky;A;September 2016;5;5;4;4;1;181;sc;;;"convex polyhedra; adjacency matrix; digital name; ordering; combinatorial asymmetry";
The complete classification of five-dimensional Dirichlet-Voronoi polyhedra of translational lattices;M. Dutour Sikirić, A. Garber, A. Schürmann and C. Waldmann;A;November 2016;5;2;6;0;2;300;fa;;;"Dirichlet-Voronoi polytope; Delaunay polytope; secondary cones; affine types; contraction types; topological mass formula; combinatorial enumeration";5.0 (5)
Principles of weakly ordered domains in intermetallics: the cooperative effects of atomic packing and electronics in Fe2Al5;A. I. Vinokur, K. P. Hilleke and D. C. Fredrickson;A;March 2019;5;4;5;1;3;2715;fa;aperiodic 2018;Open;"intermetallic phases; channel structures; chemical bonding theory; disorder; incommensurability";2.5 (4,1)
Observing structural reorientations at solvent-nanoparticle interfaces by X-ray diffraction - putting water in the spotlight;M. Zobel;A;November 2016;5;6;9;1;1;684;la;100 years of the Debye scattering equation;;"solvent-nanoparticle interfaces; solvent restructuring; hydration shell; liquid structure; pair distribution function";4.0 (4)
Relativistic quantum crystallography of diphenyl- and dicyanomercury. Theoretical structure factors and Hirshfeld atom refinement;L. Bučinský, D. Jayatilaka and S. Grabowsky;A;September 2019;5;8;5;0;1;533;fa;;;"electron density; relativistic effects; electron correlation; relativistic Hirshfeld atom refinement; quantum crystallography";4.0 (4,4)
